Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
38596;1;1;0;0;0;0;0;0;0;0;12;0;1;0;0;0
AATK;0;0;0;0;0;0;0;2;1;0;18;1;0;0;0;0
ABC7-481722F1.1;0;0;0;0;0;0;1;5;2;0;17;0;0;0;0;0
ABCB4;9;41;0;0;1;0;5;0;0;0;0;1;1;0;0;0
ABCC3;4;6;5;3;2;2;4;14;65;4;3;4;3;1;2;1
AC002480.4;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AC002480.5;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AC002511.3;0;0;4;0;0;0;0;3;1;0;27;0;0;0;0;0
AC007381.3;1;2;0;0;0;0;0;0;0;0;0;0;16;0;0;0
AC008074.5;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
AC008697.1;13;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
AC009237.17;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
AC009238.7;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
AC010468.2;1;0;0;19;5;10;0;0;0;44;0;0;0;0;2;9
AC011380.8;2;2;1;2;1;0;1;25;2;1;14;1;1;0;1;0
AC011893.3;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0
AC011899.9;0;1;4;0;0;0;7;15;49;0;7;0;0;0;0;0
AC012314.19;0;3;6;1;0;2;14;32;17;0;376;0;2;0;0;0
AC018643.4;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0
AC022816.2;0;0;2;1;0;1;1;0;0;1;17;0;1;0;1;0
AC023590.1;8;6;3;6;1;5;3;2;3;6;3;3;228;3;2;1
AC068724.1;12;11;0;0;0;0;0;0;0;0;0;0;37;2;0;0
AC099552.2;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0
AC103563.5;10;1;0;1;0;0;0;0;0;0;0;0;0;62;0;0
AC103563.9;0;0;0;9;0;0;0;0;0;18;0;0;0;0;1;0
AC104809.4;1;0;0;0;0;0;0;1;164;0;0;0;0;0;0;0
ACSL1;21;12;57;8;10;7;28;145;82;5;1430;12;9;3;9;8
ADAM12;0;0;0;6;0;41;0;1;0;0;0;0;0;0;0;0
ADAMTS1;0;2;0;0;4;1;1;1;1;1;0;34;0;0;7;4
ADM;2;2;0;0;0;0;2;36;19;0;393;0;0;1;0;0
AEBP1;2;12;1;3;1;0;0;0;0;11;0;1;54;0;1;2
AF001550.9;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
AF064858.10;0;0;12;0;0;0;1;0;0;0;0;0;0;0;0;0
AIF1;12;18;1;3;0;0;210;247;579;21;226;3;16;1;0;2
AIM2;211;45;8;6;4;3;5;11;11;1;27;2;0;22;2;3
AK8;16;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
AKAP12;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0
AL122127.25;114;320;1;0;0;0;0;0;0;2;0;0;9;51;0;0
AL450992.2;0;0;0;17;9;62;0;0;0;2;0;3;7;0;4;17
ALDH1A1;8;7;0;0;0;0;3;190;13;0;0;0;0;1;0;0
ALG1L13P;8;4;14;1;1;0;0;2;4;1;67;0;2;1;1;0
ALPL;2;7;0;0;0;0;0;0;1;0;694;0;0;0;0;0
ALS2CL;1;0;0;26;1;1;5;3;2;22;0;0;0;0;1;1
AMIGO3;1;0;1;1;2;0;0;0;0;2;0;2;26;0;1;1
ANG;2;1;0;1;0;0;4;10;0;0;0;0;1;2;0;0
ANKRD53;0;1;0;0;0;0;0;0;0;0;0;1;18;0;0;0
ANXA3;3;1;0;0;0;0;0;0;1;0;371;1;0;4;0;0
AOC2;0;0;0;1;0;0;0;0;0;0;18;1;0;0;1;0
AOX2P;0;0;0;0;0;1;0;0;0;1;0;1;15;0;0;0
AOX3P-AOX2P;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
AP001434.2;0;0;0;0;0;0;0;3;0;0;118;0;0;0;0;0
AP002954.4;0;1;0;3;0;0;7;25;10;6;0;4;0;0;3;1
APP;12;37;2;26;3;7;60;90;40;29;4;8;707;4;3;9
AQP9;4;7;2;0;0;0;5;148;45;0;1041;0;0;0;0;0
ARHGEF10L;2;3;0;0;0;0;32;59;31;0;0;0;0;1;0;0
ARL5C;1;2;1;1;1;1;1;2;1;2;2;1;30;0;1;0
ARVCF;1;1;0;1;1;0;1;1;1;1;0;22;0;0;4;0
ASGR2;2;2;0;0;0;0;49;67;5;0;0;0;0;0;0;0
ASIP;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0
AZIN2;1;2;36;8;7;11;0;0;0;17;0;5;112;1;5;5
B3GNT5;1;1;7;3;1;3;7;12;4;1;66;1;1;0;2;1
BAIAP3;87;5;2;6;3;4;0;0;0;0;8;4;0;4;5;6
BASP1;6;6;11;0;0;0;14;4;2;0;78;0;1;2;0;0
BCL11A;431;692;3;0;0;0;211;57;78;2;9;5;1666;9;1;0
BCL2A1;32;24;19;16;15;9;70;134;306;12;744;6;2;2;15;16
BEND6;0;1;3;1;1;1;4;0;1;1;1;1;21;0;1;0
BHLHA15;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0
BMX;0;0;4;0;0;0;0;0;0;0;19;0;0;0;0;0
BNIP3P41;0;19;0;0;0;0;0;0;0;0;0;0;88;0;0;0
BSPRY;0;1;0;0;1;0;0;0;0;0;1;1;12;0;1;0
BTNL8;0;0;0;0;0;0;0;1;1;0;132;0;0;0;0;0
C10orf105;0;0;0;0;0;0;2;2;13;0;6;0;0;0;0;0
C1orf186;306;233;1104;21;17;17;21;8;7;16;44;28;2955;178;19;11
C1QA;0;1;0;0;0;0;3;3;68;0;0;0;0;0;0;0
C5orf64;0;1;1;1;1;1;1;1;1;1;1;2;35;0;1;0
CA4;0;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0
CA6;1;1;2;3;1;1;1;1;1;25;1;1;1;0;1;2
CACNA1E;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0
CACNA2D3;0;1;0;0;0;0;89;24;3;0;0;0;9;0;0;0
CAMP;0;1;3;0;0;0;0;0;0;0;16;0;0;0;0;0
CAV1;1;0;1;0;0;0;0;0;0;0;0;0;0;20;0;0
CCDC149;0;1;0;0;0;0;3;11;3;0;1;0;1;0;0;0
CCDC183;1;2;1;3;3;2;1;2;1;3;0;2;47;1;4;2
CCDC50;65;58;5;11;13;5;50;23;24;6;14;16;606;30;10;9
CCL3L3;14;11;1;1;4;6;50;342;85;0;79;4;0;1;7;4
CCNA1;0;1;127;0;0;0;0;0;0;0;0;0;0;0;0;0
CCNJL;0;0;1;0;0;0;0;0;1;0;33;7;0;0;0;0
CCR3;4;2;3270;2;2;0;0;0;1;0;107;3;19;1;1;0
CCR4;1;1;1;43;5;1;0;1;1;2;1;1;1;0;1;4
CCR7;124;352;1;534;17;21;5;0;1;1482;1;25;29;1;50;156
CCR8;0;0;0;21;2;0;0;0;0;0;0;0;0;0;1;0
CD14;54;67;1;1;0;1;164;1629;135;1;329;1;0;9;0;0
CD177;0;0;1;0;0;0;0;0;0;0;34;0;0;0;0;0
CD1B;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0
CD1C;99;133;0;0;0;0;849;27;19;0;0;3;0;1;0;0
CD1E;0;1;0;0;0;0;113;2;3;0;0;0;0;0;0;0
CD200;14;133;5;5;4;8;2;1;1;7;3;2;5;2;3;1
CD207;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0
CD248;0;0;0;0;1;1;0;0;0;36;0;0;0;0;1;1
CD36;22;36;1;0;0;0;268;836;92;1;2;3;404;5;0;0
CD72;71;351;4;6;14;16;34;5;4;5;0;28;21;2;15;15
CD80;13;2;0;1;0;0;1;1;1;0;0;0;0;1;0;0
CD8A;2;1;0;19;1474;707;0;0;2;370;0;108;0;0;145;49
CDA;4;5;28;0;0;0;3;83;37;0;250;0;0;0;0;0
CDC42EP1;1;1;1;0;0;0;6;16;2;0;0;1;0;0;0;0
CDH1;2;2;2;2;2;1;6;1;2;3;1;2;33;1;1;1
CDK15;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0
CDK2AP1;3;3;3;1;1;1;28;28;75;1;1;1;3;0;0;1
CDKN1C;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0
CEACAM3;1;2;4;0;0;0;4;6;65;0;411;0;0;0;0;0
CEACAM4;3;3;0;6;0;0;34;62;20;0;290;0;0;0;0;0
CFAP58-AS1;0;0;0;0;3;5;4;2;1;0;40;1;0;0;0;5
CFH;0;0;0;17;16;46;0;1;0;1;0;1;0;0;12;5
CH17-296N19.1;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0
CH17-373J23.1;8;16;8;7;5;27;58;258;40;7;3;5;19;16;11;16
CHI3L1;2;2;1;0;0;0;0;1;1;0;660;1;0;0;0;0
CIB2;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0
CKB;2;2;8;0;1;0;4;2;157;0;1;2;0;1;1;2
CLC;2;4;4949;0;0;0;0;0;1;0;4;2;0;0;0;0
CLCN5;1;2;0;1;1;0;10;4;3;1;0;1;32;0;0;1
CLDN10;0;0;0;0;0;0;0;1;1;0;13;0;0;0;0;0
CLEC10A;2;2;0;0;0;0;482;27;18;0;0;1;4;0;0;0
CLEC17A;56;137;10;0;0;0;24;2;2;0;16;0;0;4;0;0
CLEC4C;2;4;8;1;1;1;2;3;1;1;5;1;356;0;1;1
CLEC5A;0;1;0;0;0;0;2;20;1;0;2;0;0;0;0;0
CLEC6A;1;1;0;0;0;0;3;20;1;0;1;0;0;0;0;0
CLEC9A;0;0;0;0;0;0;13;0;0;0;5;0;0;0;0;0
CLIC2;1;2;0;1;1;1;88;5;13;1;1;2;8;0;1;2
CMTM2;0;1;0;0;0;0;0;2;1;0;285;0;0;0;0;0
CNTN4-AS1;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
COCH;256;12;1;1;1;0;0;2;0;1;0;0;1;28;0;0
COL13A1;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;1
COL19A1;13;68;1;1;1;1;0;1;1;1;1;1;1;1;1;0
COL24A1;0;0;0;0;0;0;0;1;0;0;0;0;18;1;0;0
COL4A3;74;16;0;1;0;1;0;0;0;1;0;1;0;10;0;0
COL4A4;15;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0
COL9A2;2;8;1;1;0;0;14;3;3;2;7;2;0;1;0;0
COLQ;2;1;4;19;6;182;1;3;1;6;1;56;5;1;14;25
CORO6;1;1;158;3;6;4;0;0;1;2;0;5;0;0;10;5
CPA3;1;1;1265;0;0;0;0;0;1;0;0;1;1;0;0;0
CPNE5;280;111;1;1;0;0;1;2;2;0;2;0;1;102;0;0
CPNE7;0;0;0;4;1;19;0;0;0;0;0;0;0;0;1;4
CR2;50;105;1;5;1;3;0;0;1;16;0;1;1;5;10;2
CREB5;8;7;2;0;0;0;89;160;22;0;679;0;5;1;0;0
CROCC2;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0
CRYM;1;2;0;0;0;0;0;0;0;0;0;0;91;0;0;0
CRYM-AS1;1;2;1;1;1;0;1;1;1;1;1;1;34;0;1;1
CSF1R;22;30;8;3;3;3;370;410;1414;3;51;6;97;4;3;2
CSF2RBP1;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0
CSF3R;29;47;4;1;1;1;301;827;123;1;6071;6;17;7;1;1
CST3;28;58;4;1;6;0;1827;638;814;1;68;18;443;5;5;3
CTA-286B10.7;1;0;3;0;0;0;0;1;1;0;153;0;0;0;0;0
CTB-180A7.6;1;2;3;2;4;4;2;2;0;4;75;3;3;0;1;3
CTB-50L17.14;0;1;2;0;0;1;0;1;0;1;15;0;0;0;0;0
CTB-61M7.2;7;5;2;1;2;1;4;173;79;2;381;2;1;1;0;2
CTC-510F12.4;1;1;42;0;0;0;4;12;6;0;139;0;0;0;0;0
CTC-546K23.1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
CTD-2003C8.2;2;1;0;2;1;1;3;4;2;1;2;1;27;1;3;1
CTD-2006K23.1;2;4;1;0;0;0;70;34;163;0;20;1;0;0;0;0
CTD-2311M21.5;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
CTD-2509G16.5;57;18;1;2;1;1;1;3;1;2;2;0;2;6;1;1
CTD-2530H12.2;0;0;0;0;0;0;0;1;0;0;50;0;0;0;0;0
CTD-2531D15.4;0;0;26;0;0;0;3;1;1;0;0;0;0;0;0;0
CTD-2545M3.8;0;0;0;0;0;0;9;12;3;0;0;0;0;0;0;0
CTD-2547E10.3;2;3;0;0;1;0;3;0;1;1;0;0;98;0;0;0
CTD-2547E10.6;0;1;0;0;0;0;1;0;0;0;0;0;30;0;0;0
CTD-2583P5.3;1;0;4;1;0;0;5;9;8;0;37;1;3;0;0;0
CTD-3088G3.8;1;1;5;2;4;1;1;1;0;4;58;6;1;1;2;1
CTD-3116E22.8;0;1;0;0;0;0;14;0;0;0;0;0;1;0;0;0
CTLA4;0;0;0;54;7;2;0;0;0;11;0;0;0;0;0;2
CTNNA2;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0
CTSL;2;4;1;11;0;0;13;40;304;14;1;3;0;0;0;1
CTSV;1;1;0;0;0;0;3;0;0;1;1;0;22;0;0;0
CUEDC1;0;0;0;0;0;0;4;2;3;0;6;0;60;0;0;0
CUX2;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0
CXCL1;0;0;0;0;0;0;0;12;1;0;320;0;0;0;0;0
CXCL16;13;18;5;3;2;4;111;115;456;4;155;4;26;2;2;3
CXCL6;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
CXCL8;68;68;155;1;0;0;977;2583;564;0;8141;5;0;13;1;0
CXCR1;2;2;94;0;11;0;1;2;2;0;1886;56;1;0;28;2
CXCR2;4;3;64;1;24;0;10;27;8;1;3387;101;21;0;55;8
CXCR6;0;1;0;24;29;269;0;0;0;2;0;10;1;0;17;124
CYB561A3;428;769;44;60;70;56;94;105;86;60;18;91;2283;23;71;49
CYP11A1;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0
CYP1B1;8;13;0;0;0;0;2;186;16;0;5;0;0;1;0;0
CYP2S1;1;1;2;0;0;0;98;26;4;0;0;1;2;0;0;0
CYP46A1;1;1;2;1;1;1;1;1;1;2;1;2;32;0;1;1
CYP4F22;0;1;1;1;5;10;0;0;27;1;0;2;0;0;3;2
CYP4F3;2;4;8;2;3;2;2;3;2;3;235;2;3;0;3;2
CYP7B1;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
CYYR1;0;0;1;0;0;0;1;0;0;0;1;0;76;0;0;0
DAB2;1;4;7;2;7;1;20;10;6;1;2;44;306;0;12;1
DBNDD1;2;41;0;2;0;0;0;0;0;5;0;0;1;0;0;0
DEPTOR;1;1;1;1;1;1;15;0;1;2;0;1;2;1;1;1
DFNA5;2;2;0;1;1;0;17;5;1;1;0;1;0;0;1;0
DGAT2;9;11;5;0;0;0;7;24;5;0;412;0;1;3;0;0
DKK3;0;0;0;2;2;45;0;0;0;4;0;0;0;0;6;11
DNAJC5B;21;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0
DNASE1L3;1;2;0;0;0;1;30;1;1;1;0;1;283;0;0;0
DOCK4;0;0;0;0;0;0;2;6;4;0;30;0;0;0;0;0
DPP4;1;1;1;112;6;294;6;1;1;74;0;3;46;0;4;94
DPPA4;2;7;2;2;2;1;1;1;1;3;1;3;37;0;2;1
DSC1;0;0;0;1;0;0;0;0;0;20;0;0;0;0;0;0
DSC2;0;1;1;0;0;0;0;12;2;0;52;0;0;0;0;0
DSG3;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
DYRK3;0;0;0;0;0;0;0;0;0;0;1;0;12;0;0;0
DYSF;3;3;0;0;3;0;3;56;6;1;254;7;0;0;4;2
EBI3;20;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0
EDAR;0;0;0;6;0;0;0;0;0;17;0;0;0;0;0;2
EGLN3;1;2;1;6;1;1;3;0;0;3;0;1;61;0;0;0
EGR2;3;2;2;1;3;0;7;26;7;1;12;1;0;0;2;0
ELL3;9;48;2;2;3;0;1;1;0;2;0;0;15;0;2;1
ELOVL4;0;0;0;6;4;24;0;0;0;1;0;0;0;0;1;2
EMP1;0;0;0;1;0;0;27;5;2;0;0;0;3;0;0;0
ENHO;0;0;0;0;0;0;18;0;1;0;0;0;0;0;0;0
ENPP3;1;2;517;1;1;1;1;0;1;2;1;2;0;0;1;0
ENTPD3;1;1;1;1;1;0;0;0;0;0;0;1;11;0;1;1
EPAS1;0;1;278;1;1;2;0;2;0;0;2;1;0;0;2;3
EPHA2;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0
EPHX2;8;5;5;73;16;14;2;3;2;163;3;8;2;4;23;22
EPS8;4;2;2;4;1;2;13;8;58;3;2;2;1;1;1;2
ERBB2;5;6;3;4;19;3;2;2;3;4;3;89;2;1;18;5
F2RL1;2;2;1;6;0;0;3;15;2;4;76;0;0;0;1;1
FAM111B;5;27;3;2;2;1;1;1;1;2;1;2;2;2;1;1
FAM157A;1;1;1;1;0;0;0;8;6;1;82;0;0;0;0;0
FAM157B;1;1;1;1;0;1;0;3;2;1;23;1;0;0;1;0
FAM160A1;0;0;13;1;0;1;7;0;1;1;0;0;48;0;0;0
FAM198B;5;4;0;0;0;0;17;103;42;0;0;0;2;0;0;0
FAM213A;4;7;1;5;3;6;4;4;1;14;1;3;92;0;3;8
FAM221B;1;1;3;1;2;2;3;2;2;2;2;2;37;0;1;1
FAM81A;1;11;0;0;0;0;11;1;0;0;0;0;43;0;0;0
FBLN2;1;11;0;0;1;0;23;0;1;9;0;2;2;0;3;0
FBLN7;0;0;0;25;0;2;0;0;0;9;0;0;0;0;0;0
FCAR;10;9;2;2;1;1;5;198;101;2;440;2;1;3;1;1
FCER2;91;393;0;0;0;0;4;4;2;0;1;0;0;12;0;0
FCGR1B;2;2;0;0;0;0;7;47;26;0;121;1;0;0;0;0
FCGR2A;43;43;32;0;4;0;249;730;525;0;2875;19;5;7;9;3
FCGR3A;31;50;1;7;700;5;12;138;5623;7;1788;2192;0;7;1123;219
FCGR3B;7;10;0;1;27;0;1;8;370;1;5453;89;0;1;65;15
FCN1;173;223;2;1;1;0;1308;4958;2186;1;387;8;1;23;1;1
FCRL1;568;1471;7;3;2;2;1;1;5;1;4;1;1;30;3;1
FFAR2;11;12;19;10;7;8;18;44;69;10;1031;10;6;2;8;9
FLT4;0;0;0;3;1;31;0;0;0;2;0;0;0;0;1;6
FOLR2;2;3;0;0;0;0;10;34;10;0;0;0;0;1;0;0
FOXP3;0;0;0;19;0;0;0;0;0;1;0;0;0;0;0;0
FPR1;20;28;76;2;1;1;110;619;198;2;2403;3;2;4;2;1
FPR2;6;9;4;1;0;1;9;132;92;1;842;2;1;1;0;0
FPR3;0;1;1;0;0;0;26;7;4;0;0;0;0;0;0;0
FRAT2;2;1;2;1;1;1;6;5;3;2;67;2;1;1;3;1
FSCN1;2;1;0;1;0;0;12;4;1;0;2;1;0;0;0;0
FXYD6;3;3;0;1;0;1;6;68;4;0;0;1;2;0;1;0
G0S2;15;15;0;0;0;0;79;243;190;0;5826;1;0;4;0;0
GALNT14;1;1;0;0;0;0;0;0;0;0;15;0;0;2;0;0
GATA1;1;2;82;0;0;0;0;0;0;0;0;0;0;0;0;0
GCA;75;105;95;17;9;7;224;446;199;22;2899;10;89;8;9;5
GCSAML;1;1;596;1;0;1;0;0;1;1;1;1;3;0;0;0
GDPD3;2;3;3;6;1;4;2;3;2;6;93;2;1;0;2;2
GLOD5;0;0;66;0;0;0;0;0;0;1;0;0;0;0;0;0
GLT1D1;1;1;0;0;0;0;1;19;3;0;91;0;12;0;0;0
GLYATL1;3;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0
GLYATL1P1;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GNA14;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0
GNA14-AS1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
GPM6B;7;9;4;9;7;7;3;1;1;10;1;6;144;0;10;7
GPR20;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0
GPR27;0;0;0;0;0;0;0;1;0;0;15;0;0;0;0;0
GPRC5C;0;1;3;0;0;0;3;1;2;0;0;0;43;0;0;0
GRIP1;0;1;7;6;3;2;65;0;4;6;1;0;7;0;1;2
GUCY1B3;1;2;2;0;0;0;1;0;34;0;0;4;6;0;0;0
GUCY2D;0;0;0;0;0;0;2;0;0;0;0;0;12;0;0;0
HBEGF;1;1;0;1;0;0;45;19;13;0;7;0;0;0;0;0
HCAR2;1;1;43;0;0;0;11;30;21;0;339;0;0;0;0;0
HCG27;1;2;2;3;1;3;1;2;1;4;34;1;0;1;2;2
HDC;7;10;10697;0;0;0;0;1;1;0;9;7;3;1;0;0
HIST1H2BC;1;5;4;1;1;0;1;2;2;1;149;1;9;4;0;0
HLA-DQA1;479;412;4;6;26;4;1428;130;124;4;3;19;254;19;19;8
HMOX1;29;15;9;1;2;0;38;125;362;0;28;9;0;2;4;0
HPCAL4;0;0;0;17;1;2;0;0;0;7;0;0;0;0;1;2
HPGDS;0;0;63;1;0;0;0;0;0;0;0;0;0;0;0;0
HRASLS2;2;0;0;0;1;0;0;0;0;0;0;1;1;31;0;1
HRH4;0;1;136;1;0;0;0;0;0;0;1;0;0;0;0;0
HSPA6;6;4;1;0;4;0;21;39;36;0;268;7;0;1;3;1
IDO1;0;0;13;0;0;0;78;3;2;0;5;1;0;0;0;0
IFNL3P1;0;0;0;4;1;3;0;0;0;14;0;1;1;0;0;3
IGF1;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0
IGHA1;6120;278;17;4;2;2;2;1;4;1;29;6;24;40253;1;1
IGHA2;937;44;4;1;0;0;0;0;1;0;1;1;2;9231;0;0
IGHD;33;2047;0;0;2;0;0;0;1;0;1;1;23;2;1;0
IGHG1;2395;316;4;2;1;1;1;2;1;0;8;4;6;20359;0;0
IGHG2;1530;219;3;1;1;1;1;2;2;0;1;2;5;20258;0;0
IGHG3;539;140;1;0;0;0;0;0;0;0;0;1;1;2825;0;0
IGHG4;243;20;0;0;0;0;0;0;0;0;0;0;0;2617;0;0
IGHJ1;217;236;0;1;0;0;0;0;0;0;0;0;145;1892;0;0
IGHJ2;394;366;0;0;0;0;0;0;0;0;0;0;89;4758;0;0
IGHJ2P;38;48;0;5;0;0;0;0;0;0;0;0;668;22;4;0
IGHV1-12;38;15;0;1;0;0;0;0;0;0;0;0;0;300;0;0
IGHV1-3;304;472;3;6;7;1;0;0;1;8;0;4;66;3983;5;0
IGHV1-46;149;274;0;0;0;1;0;0;0;0;0;2;1;1779;0;0
IGHV1OR15-2;5;1;0;0;0;0;0;0;0;0;0;0;0;40;0;0
IGHV1OR15-9;11;7;0;0;0;0;0;0;0;0;0;0;0;107;0;0
IGHV2OR16-5;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
IGHV3-11;273;352;1;0;0;0;0;0;0;0;0;0;0;2421;0;0
IGHV3-19;47;13;0;0;1;0;0;0;0;0;0;0;0;608;0;0
IGHV3-21;556;1083;2;0;0;0;1;0;1;0;0;1;3;5523;0;0
IGHV3-22;8;11;0;0;0;0;0;0;0;0;0;0;0;75;0;0
IGHV3-25;1;1;0;0;0;0;0;0;0;0;0;0;0;27;0;0
IGHV3-30;1009;1295;0;3;1;3;1;1;0;0;4;4;4;9070;0;1
IGHV3-38;9;3;0;0;0;0;0;0;0;0;0;0;0;97;0;0
IGHV3-41;18;7;0;1;0;0;0;0;0;0;0;0;0;156;0;0
IGHV3-47;9;3;0;1;0;0;0;0;0;0;0;0;0;100;0;0
IGHV3-48;340;542;1;0;0;0;0;0;1;0;1;0;1;4377;0;0
IGHV3-49;166;214;0;0;0;0;0;0;0;0;0;0;0;2042;0;0
IGHV3-52;5;2;0;0;0;0;0;0;0;0;0;0;0;47;0;0
IGHV3-53;95;135;0;0;0;0;0;0;0;0;0;0;1;1008;0;0
IGHV3-54;2;1;0;0;0;0;0;0;0;0;0;0;0;33;0;0
IGHV3-6;19;4;0;0;0;0;0;0;0;0;0;0;0;164;0;0
IGHV3-60;7;3;0;0;0;0;0;0;0;0;0;0;0;87;0;0
IGHV3-62;29;11;0;0;0;0;0;0;0;0;0;1;0;429;0;0
IGHV3-63;40;15;0;0;0;0;0;0;0;0;0;0;0;465;0;0
IGHV3-64;19;76;0;0;0;0;0;0;0;0;0;0;0;309;0;0
IGHV3-65;3;2;0;0;0;0;0;0;0;0;0;0;0;22;0;0
IGHV3-69-1;84;136;0;0;0;0;0;0;0;0;0;0;2;1049;0;0
IGHV3-7;577;654;1;0;1;0;0;0;0;0;0;0;1;8151;0;1
IGHV3-71;22;18;0;0;0;0;0;0;0;0;0;0;0;231;0;0
IGHV3-72;139;94;1;0;0;0;0;0;0;0;0;0;0;2270;0;0
IGHV3-73;57;98;0;0;0;0;0;0;0;0;0;0;0;742;0;0
IGHV3-74;174;200;4;1;1;0;0;0;0;1;0;0;2;3411;0;0
IGHV3-75;6;1;0;0;0;0;0;0;0;0;0;0;0;102;0;0
IGHV3-76;1;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0
IGHV3-79;2;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0
IGHV3OR16-15;4;1;0;0;0;0;0;0;0;0;0;0;0;37;0;0
IGHV3OR16-16;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0
IGHV3OR16-6;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0
IGHV3OR16-7;2;1;0;0;0;0;0;0;0;0;0;0;0;28;0;0
IGHV3OR16-8;37;9;0;0;0;0;0;0;0;0;0;0;0;298;0;0
IGHV3OR16-9;65;46;0;0;1;0;0;0;0;0;0;0;0;1023;0;0
IGHV4-28;51;34;0;1;0;0;0;0;0;0;0;0;0;746;0;0
IGHV4-55;40;38;0;0;0;0;0;0;0;0;0;0;0;757;0;0
IGHV4-59;282;531;4;1;0;0;0;0;0;0;0;0;9;3688;0;0
IGHV4-80;8;2;0;0;0;0;0;0;0;0;0;0;0;47;0;0
IGHV7-34-1;8;3;0;0;0;0;0;0;0;0;0;0;0;90;0;0
IGHV7-56;2;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0
IGHV7-81;13;13;0;0;0;0;0;0;0;0;0;0;0;122;0;0
IGHVIII-11-1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IGKV1-12;116;99;1;0;0;0;0;0;0;0;0;0;0;938;0;0
IGKV1-17;64;52;0;0;0;0;0;0;0;0;0;0;0;518;0;0
IGKV1-27;83;74;0;0;0;0;0;0;0;0;0;0;0;744;0;0
IGKV1-33;269;279;0;0;0;0;0;0;0;0;0;0;0;784;0;0
IGKV1-39;391;271;2;0;0;0;0;0;0;0;0;0;0;2575;0;0
IGKV1-6;68;20;0;0;0;0;0;0;0;0;1;0;0;606;0;0
IGKV1-9;114;82;0;0;0;0;0;0;0;0;0;0;0;1108;0;0
IGKV1D-16;15;12;0;0;0;0;0;0;0;0;0;0;0;105;0;0
IGKV1D-17;10;8;0;0;0;0;0;0;0;0;0;0;0;70;0;0
IGKV1OR22-1;3;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0
IGKV2-24;57;37;0;0;0;0;0;0;0;0;0;0;0;351;0;0
IGKV2-29;89;104;0;0;0;0;0;0;0;0;0;0;0;492;0;0
