Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
RP11-294C11.2;25;11;1;5;0;0;0;0;0;2;0;6;1;224;2;0
RP11-295P22.2;3;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
RP11-297B17.3;11;29;1;1;1;1;1;0;0;1;1;1;1;0;1;1
RP11-306K13.1;0;2;0;0;0;0;0;0;0;0;0;0;15;0;0;0
RP11-321E2.12;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
RP11-321E2.5;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0
RP11-324E6.6;0;0;5;0;0;0;1;6;5;0;42;0;0;0;0;0
RP11-330H6.5;18;16;1;1;0;0;0;0;1;1;1;0;146;3;0;0
RP11-330H6.6;5;3;4;1;0;0;0;0;0;0;2;1;19;0;0;0
RP11-342D11.3;6;0;0;47;7;1;0;0;0;1;0;1;0;1;3;1
RP11-344B23.2;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-34P13.15;4;3;2;1;1;2;3;27;17;3;229;0;2;0;3;2
RP11-34P13.16;3;5;0;1;0;2;0;15;21;2;154;0;4;0;0;0
RP11-34P13.9;3;5;2;4;1;3;6;20;20;3;120;2;7;0;3;2
RP11-356N1.2;2;7;1;0;0;0;7;24;2;0;2;0;0;0;0;0
RP11-362F19.1;4;6;1;1;0;0;5;80;269;0;1;1;0;2;1;0
RP11-362F19.3;0;2;0;0;0;0;2;31;6;0;0;0;0;0;0;0
RP11-389C8.2;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;0
RP11-424I19.2;0;0;0;0;0;0;0;1;0;0;18;0;0;0;1;0
RP11-426C22.4;0;1;1;1;1;0;18;2;3;0;0;3;0;0;2;0
RP11-426L16.10;0;0;0;0;0;0;0;0;1;0;0;0;32;0;0;0
RP11-440I14.2;0;0;43;0;0;1;0;0;0;0;0;0;0;0;0;1
RP11-44F14.1;1;1;24;1;1;1;2;13;3;1;71;1;1;0;1;1
RP11-455F5.3;1;0;0;0;0;0;0;0;0;0;30;1;0;0;0;1
RP11-456H18.2;0;0;0;0;0;0;3;12;2;0;4;0;2;1;0;0
RP11-467L13.7;3;3;4;3;1;1;4;8;6;3;85;2;1;1;2;2
RP11-482G13.1;2;5;1;2;0;1;1;28;20;2;124;1;1;0;2;2
RP11-4C20.4;1;1;2;0;0;0;6;19;7;0;1;0;1;0;0;0
RP11-501J20.5;0;1;65;0;0;0;0;0;0;0;0;0;1;0;0;0
RP11-511B23.1;10;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0
RP11-529A4.7;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-568J23.8;3;15;0;1;0;0;3;4;0;3;0;0;0;5;0;0
RP11-588H23.3;24;3;2;1;1;1;0;1;1;1;1;1;0;7;1;1
RP11-588L15.1;1;0;0;0;0;0;6;12;6;0;46;0;4;1;0;0
RP11-588L15.2;1;1;0;0;0;0;1;4;3;0;13;0;1;0;0;0
RP11-597D13.9;1;2;0;0;0;0;11;37;15;0;0;0;1;0;0;0
RP11-603B24.1;2;1;0;60;7;76;0;0;298;0;0;27;0;0;7;34
RP11-603B24.6;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
RP11-605P22.1;0;0;0;0;2;0;0;2;0;0;4;14;0;0;2;0
RP11-610P16.1;0;0;2;0;0;0;4;0;1;1;0;0;107;0;0;0
RP11-619I22.1;3;1;0;2;3;1;0;8;10;1;63;2;1;1;2;1
RP11-61O1.2;0;0;0;15;1;0;0;0;0;91;0;0;0;0;4;5
RP11-676B18.1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
RP11-692N5.2;0;0;13;0;0;0;4;2;1;0;3;0;0;0;0;0
